address,latitude,longitude,date
Hiyoshi,35.5530639,139.6467829,
Yokohama,35.466188,139.622715,
Motomachichukagai,35.442411,139.650472,
Shibuya,35.658517,139.701334,
Shinjuku,35.690921,139.700258,
Tokyo,35.681382,139.766084,
Tsukishima,35.6630042,139.7815961,
Namamugi,35.495297,139.666969,
Yutenji,35.637817,139.69121,
Kawasaki,35.531328,139.696899,
Shinbashi,35.665498,139.75964,
Kokusaitenjijo,35.6294308,139.7946854,
Mita,35.64818,139.748775,
Meguro,35.633998,139.715828,
YSFH,35.498298,139.67839,
Tsurumi,35.508565,139.676018,
Musashikosugi,35.575741,139.659664,
Tokyo station,35.68138,139.76608,2015/5/24_0:34:27
Sydney,-33.86749,151.20699,2015/5/24_0:37:48
Seatle,47.60621,-122.33207,2015/5/24_0:38:11
