address,latitude,longitude,date
hiyoshi,35.5530639,139.6467829,
yokohama,35.466188,139.622715,
motomachichukagai,35.442411,139.650472,
shibuya,35.658517,139.701334,
shinjuku,35.690921,139.700258,
tokyo,35.681382,139.766084,
tsukishima,35.6630042,139.7815961,
namamugi,35.495297,139.666969,
yutenji,35.637817,139.69121,
kawasaki,35.531328,139.696899,
shinbashi,35.665498,139.75964,
kokusaitenjijo,35.6294308,139.7946854,
mita,35.64818,139.748775,
meguro,35.633998,139.715828,
ysfh,35.498298,139.67839,
tsurumi,35.508565,139.676018,
musashikosugi,35.575741,139.659664,
sydney,-33.86749,151.20699,2015/5/24_0:37:48
kuala lumpur,3.139003,101.68685,2015/5/24_22:19:31
singpore,1.352083,103.81984,2015/5/24_22:21:39
taiwan,23.69781,120.96052,2015/5/24_22:22:2
osaka,34.693737,135.50217,2015/5/24_22:22:28
machida,35.54663,139.43861,2015/5/24_22:35:42
fuchinobe,35.568756,139.39507,2015/5/24_22:35:47
kamakura,35.319225,139.54669,2015/5/24_22:42:8
ofuna,35.353264,139.53256,2015/5/24_22:42:12
fujisawa,35.33914,139.491,2015/5/24_23:19:3
oiso,35.301407,139.28043,2015/5/24_23:19:16
totsuka,35.4,139.53351,2015/5/24_23:19:30
shonandai,35.394894,139.46776,2015/5/24_23:19:43
MouseSpot,35.544434,139.86745,2015/5/24_23:58:58
hakone,35.232353,139.10693,2015/5/25_0:2:31
seattle,47.60621,-122.33207,2015/5/25_0:3:19
narita,35.771988,140.39285,2015/5/25_9:20:34
singapore,1.352083,103.81984,2015/5/25_9:21:17
chiba,35.605057,140.1233,2015/5/25_10:46:15
kawaguchi,35.80774,139.72417,2015/5/25_12:29:59
england,52.35552,-1.17432,2015/5/25_12:31:19
russia,61.52401,105.318756,2015/5/25_12:31:24
haneda,35.549393,139.77985,2015/5/25_14:55:6
jinbocho,35.69808,139.75632,2015/5/25_16:40:56
akihabara,35.70207,139.77533,2015/5/25_16:41:38
akihabara station,35.698685,139.77422,2015/5/25_16:46:35
tokyo,35.689487,139.69171,2015/5/25_17:6:18
tokyo skytree,35.710064,139.8107,2015/5/25_17:11:12
kuala lumpur tower,3.152953,101.70381,2015/5/25_17:11:47
keio sfc,35.388184,139.42737,2015/5/25_17:16:42
kobe,34.690083,135.19551,2015/5/25_17:38:29
niigata,37.902554,139.0231,2015/5/25_17:39:5
niigata murakami,38.22398,139.48003,2015/5/25_17:39:12
thornleigh station,-33.731815,151.07822,2015/5/25_17:42:28
manly,-33.79852,151.28612,2015/5/25_17:42:40
black rock,16.2,-88.183334,2015/5/25_17:54:48
yagami,38.308807,137.16432,2015/5/26_9:9:57
sapporo,43.062096,141.35437,2015/5/26_9:10:11
hakata,33.59136,130.41487,2015/5/26_9:10:19
akita,39.718613,140.10237,2015/6/1_15:59:11
hakodate,41.76879,140.7288,2015/6/1_15:59:32
￿￿ibaraki,36.341812,140.4468,2015/6/2_22:36:57
ibaraki,36.341812,140.4468,2015/6/2_22:37:23
murakami,38.22398,139.48003,2015/6/2_22:37:28
innoshima,34.321804,133.16502,2015/7/24_18:32:8
okayama,34.655148,133.9195,2015/7/24_18:33:5
kozukue,35.508553,139.60007,2015/7/28_22:57:13
kamoi,35.505108,139.56808,2015/7/28_22:57:25
nerima,35.735622,139.65166,2015/11/6_16:10:17
todoroki,35.607643,139.65315,2015/11/20_17:58:17
